iter	Passed	Remaining
640	957	536
641	959	535
642	968	537
643	976	539
644	978	538
645	980	537
646	985	537
647	992	539
648	997	539
649	1000	538
650	1003	538
651	1006	537
652	1009	536
653	1011	535
654	1014	534
655	1016	532
656	1021	533
657	1023	531
658	1025	530
659	1033	532
660	1038	532
661	1042	532
662	1044	530
663	1046	529
664	1049	528
665	1057	530
666	1059	528
667	1061	527
668	1063	526
669	1067	525
670	1069	524
671	1071	523
672	1075	522
673	1078	521
674	1080	520
675	1083	519
676	1085	517
677	1088	516
678	1091	516
679	1093	514
680	1096	513
681	1098	512
682	1100	510
683	1103	509
684	1105	508
685	1108	507
686	1111	506
687	1113	505
688	1117	504
689	1119	502
690	1121	501
691	1123	500
692	1126	499
693	1129	497
694	1131	496
695	1134	495
696	1136	494
697	1141	493
698	1143	492
699	1146	491
700	1148	489
701	1153	489
702	1155	488
703	1157	486
704	1159	485
705	1162	484
706	1164	482
707	1166	481
708	1168	479
709	1170	477
710	1174	477
711	1177	476
712	1179	474
713	1182	473
714	1184	472
715	1188	471
716	1190	470
717	1193	468
718	1195	467
719	1199	466
720	1201	464
721	1203	463
722	1205	461
723	1207	460
724	1216	461
725	1220	460
726	1223	459
727	1232	460
728	1234	459
729	1236	457
730	1238	455
731	1246	456
732	1249	455
733	1251	453
734	1253	452
735	1263	453
736	1265	451
737	1268	450
738	1270	448
739	1275	448
740	1277	446
741	1279	444
742	1281	443
743	1283	441
744	1286	440
745	1289	439
746	1291	437
747	1293	435
748	1295	433
749	1297	432
750	1300	431
751	1337	441
752	1339	439
753	1341	437
754	1342	435
755	1344	433
756	1345	432
757	1347	430
758	1348	428
759	1350	426
760	1352	424
761	1354	423
762	1356	421
763	1357	419
764	1359	417
765	1360	415
766	1362	413
767	1363	411
768	1365	410
769	1367	408
770	1369	406
771	1370	404
772	1372	402
773	1373	401
774	1375	399
775	1377	397
776	1379	395
777	1380	393
778	1382	392
779	1383	390
780	1385	388
781	1387	386
782	1388	384
783	1390	383
784	1392	381
785	1393	379
786	1395	377
787	1397	375
788	1398	374
789	1400	372
790	1401	370
791	1403	368
792	1405	366
793	1406	364
794	1408	363
795	1409	361
796	1411	359
797	1412	357
798	1414	355
799	1416	354
800	1418	352
801	1419	350
802	1421	348
803	1422	346
804	1424	345
805	1426	343
806	1428	341
807	1429	339
808	1431	337
809	1432	336
810	1434	334
811	1435	332
812	1437	330
813	1439	328
814	1440	327
815	1442	325
816	1443	323
817	1445	321
818	1447	319
819	1449	318
820	1451	316
821	1452	314
822	1454	312
823	1455	310
824	1456	309
825	1458	307
826	1459	305
827	1461	303
828	1463	301
829	1465	300
830	1466	298
831	1468	296
832	1469	294
833	1471	292
834	1472	291
835	1474	289
836	1475	287
837	1477	285
838	1479	283
839	1480	282
840	1482	280
841	1483	278
842	1485	276
843	1486	274
844	1488	273
845	1490	271
846	1491	269
847	1493	267
848	1494	265
849	1496	264
850	1497	262
851	1499	260
852	1500	258
853	1502	256
854	1503	255
855	1505	253
856	1507	251
857	1508	249
858	1511	248
859	1513	246
860	1515	244
861	1516	242
862	1518	240
863	1519	239
864	1521	237
865	1522	235
866	1524	233
867	1529	232
868	1530	230
869	1532	228
870	1535	227
871	1542	226
872	1544	224
873	1546	222
874	1548	221
875	1549	219
876	1551	217
877	1552	215
878	1554	213
879	1559	212
880	1561	210
881	1562	209
882	1564	207
883	1566	205
884	1568	203
885	1569	201
886	1572	200
887	1573	198
888	1575	196
889	1576	194
890	1578	193
891	1579	191
892	1581	189
893	1582	187
894	1584	185
895	1585	184
896	1588	182
897	1589	180
898	1591	178
899	1592	176
900	1594	175
901	1595	173
902	1597	171
903	1599	169
904	1600	168
905	1602	166
906	1603	164
907	1605	162
908	1607	160
909	1608	159
910	1610	157
911	1612	155
912	1614	153
913	1616	152
914	1618	150
915	1619	148
916	1622	146
917	1624	145
918	1625	143
919	1627	141
920	1628	139
921	1630	137
922	1631	136
923	1633	134
924	1635	132
925	1637	130
926	1638	129
927	1640	127
928	1641	125
929	1643	123
930	1644	121
931	1646	120
932	1647	118
933	1649	116
934	1654	115
935	1656	113
936	1658	111
937	1659	109
938	1661	107
939	1663	106
940	1664	104
941	1666	102
942	1667	100
943	1669	99
944	1670	97
945	1672	95
946	1673	93
947	1675	91
948	1676	90
949	1678	88
950	1680	86
951	1682	84
952	1683	83
953	1687	81
954	1689	79
955	1691	77
956	1693	76
957	1696	74
958	1697	72
959	1699	70
960	1701	69
961	1703	67
962	1704	65
963	1706	63
964	1708	61
965	1709	60
966	1711	58
967	1712	56
968	1714	54
969	1716	53
970	1717	51
971	1719	49
972	1725	47
973	1726	46
974	1728	44
975	1733	42
976	1735	40
977	1737	39
978	1738	37
979	1740	35
980	1741	33
981	1743	31
982	1748	30
983	1750	28
984	1751	26
985	1753	24
986	1754	23
987	1756	21
988	1758	19
989	1759	17
990	1762	16
991	1764	14
992	1765	12
993	1768	10
994	1769	8
995	1771	7
996	1773	5
997	1774	3
998	1776	1
999	1778	0
